106P,I,001532
106P,I,001533
106P,I,002982
106P,I,001476
106P,I,001258
106P,I,001267
106P,I,001268
106P,I,001393
106P,I,001287
106P,I,001296
106P,I,001297
106P,I,001298
106P,I,001299
106P,I,001216
106P,I,001217
106P,I,001218
106P,I,001219
106P,I,001220
106P,I,001221
106P,I,001336
106P,I,001337
106P,I,001338
106P,I,001222
106P,I,001224
106P,I,001225
106P,I,001362
106P,I,001383
106P,I,001382
107,O,002372
107,O,002295
107,O,003287
107,O,002363
107,O,002159
107,O,002343
107,O,002224
107,O,002222
107,O,002383
107,O,002225
107,O,002347
107,O,002405
107,O,001475
107,O,001412
107,O,001413
107,O,001534
107,O,001535
107,O,001772
107,O,001529
107,O,001572
107,O,001573
107,O,001574
107,O,001503
107,O,002655
107,O,003241
107,O,001614
107,O,001610
107,O,001611
107,O,001612
107,O,001773
107,O,001593
107,I,001593
107,I,001607
107,I,001608
107,I,001645
107,I,001609
107,I,001613
107,I,001646
107,I,001502
107,I,001575
107,I,001576
107,I,001577
107,I,001530
107,I,001538
107,I,001643
107,I,001644
107,I,001415
107,I,001537
107,I,002414
107,I,002348
107,I,002225
107,I,002371
107,I,002222
107,I,002357
107,I,002358
107,I,002160
107,I,002161
107,I,002162
107,I,002298
107,I,002396
107,I,002294
107,I,002296
107,I,002297
107,I,002372
107P,O,001808
107P,O,003269
107P,O,001803
107P,O,001804
107P,O,001537
107P,O,002414
107P,O,002348
107P,O,002356
107P,O,002358
107P,O,002160
107P,O,002161
107P,O,002162
107P,O,002163
107P,O,002261
107P,O,002328
107P,O,002320
107P,O,002329
107P,O,002696
107P,O,002391
107P,O,002392
107P,I,002392
107P,I,002393
107P,I,002394
107P,I,002697
107P,I,002680
107P,I,002260
107P,I,003287
107P,I,002363
107P,I,002159
107P,I,002343
107P,I,002383
107P,I,002347
107P,I,002405
107P,I,001475
107P,I,001805
107P,I,001806
107P,I,001807
107P,I,001808
109,O,001027
109,O,001044
109,O,001047
109,O,001051
109,O,002479
109,O,002480
109,O,002481
109,O,002482
109,O,002484
109,O,002405
109,O,001475
109,O,002999
109,O,003000
109,O,003001
109,O,003002
109,O,002725
109,O,002726
109,O,003003
109,O,002994
109,I,002994
109,I,003055
109,I,002721
109,I,002722
109,I,002723
109,I,002995
109,I,002996
109,I,002997
109,I,001415
109,I,001537
109,I,002558
109,I,002487
109,I,002569
